Model,Method,Time,ULS
segformer3d,shift,0.0521772634238004,0.53876
segformer3d,shift,0.0521693006157875,0.53876
segformer3d,shift,0.0522408243268728,0.53876
segformer3d,shift,0.0522368643432855,0.53876
segformer3d,shift,0.0524862427264452,0.53876
segformer3d,shift,0.0522335804998874,0.53876
segformer3d,shift,0.0520122628659009,0.53876
segformer3d,shift,0.0535159893333911,0.53876
segformer3d,shift,0.0522725824266672,0.53876
segformer3d,shift,0.0522218476980924,0.53876
segformer3d,shift,0.0522705782204866,0.53876
segformer3d,shift,0.0523700136691331,0.53876
segformer3d,shift,0.052185658365488,0.53876
segformer3d,shift,0.0522039234638214,0.53876
segformer3d,shift,0.0525243040174245,0.53876
segformer3d,shift,0.0522575750946998,0.53876
segformer3d,shift,0.052247704938054,0.53876
segformer3d,shift,0.0521344542503356,0.53876
segformer3d,shift,0.0523866172879934,0.53876
segformer3d,shift,0.052399119362235,0.53876
segformer3d,shift,0.0531767886132001,0.53876
segformer3d,shift,0.0527893509715795,0.53876
segformer3d,shift,0.0524141993373632,0.53876
segformer3d,shift,0.0540444906800985,0.53876
segformer3d,shift,0.0522456839680671,0.53876
segformer3d,shift,0.0522749070078134,0.53876
segformer3d,shift,0.0521636791527271,0.53876
segformer3d,shift,0.0521277412772178,0.53876
segformer3d,shift,0.0521216392517089,0.53876
segformer3d,shift,0.0521126352250576,0.53876
segformer3d,shift,0.0522478781640529,0.53876
segformer3d,shift,0.0521955080330371,0.53876
segformer3d,shift,0.0522955041378736,0.53876
segformer3d,shift,0.0523921567946672,0.53876
segformer3d,shift,0.052217748016119,0.53876
segformer3d,shift,0.0523120779544115,0.53876
segformer3d,shift,0.0520707536488771,0.53876
segformer3d,shift,0.0521034244447946,0.53876
segformer3d,shift,0.05221389234066,0.53876
segformer3d,shift,0.0521727688610553,0.53876
segformer3d,shift,0.0522362943738698,0.53876
segformer3d,shift,0.0522392187267541,0.53876
segformer3d,shift,0.0522151570767164,0.53876
segformer3d,shift,0.0530095715075731,0.53876
segformer3d,shift,0.0526633448898792,0.53876
segformer3d,shift,0.0537204630672931,0.53876
segformer3d,shift,0.0523162242025136,0.53876
segformer3d,shift,0.0526985228061676,0.53876
segformer3d,shift,0.0525454226881265,0.53876
segformer3d,shift,0.0525049474090337,0.53876
segformer3d,shift,0.0523108951747417,0.53876
segformer3d,shift,0.0522195138037204,0.53876
segformer3d,shift,0.0522417463362216,0.53876
segformer3d,shift,0.0522377453744411,0.53876
segformer3d,shift,0.0522098653018474,0.53876
segformer3d,shift,0.052183324471116,0.53876
segformer3d,shift,0.0522172283381223,0.53876
segformer3d,shift,0.0524199102073907,0.53876
segformer3d,shift,0.052131850272417,0.53876
segformer3d,shift,0.0523680821061134,0.53876
segformer3d,shift,0.0521663445979356,0.53876
segformer3d,shift,0.0522144138813018,0.53876
segformer3d,shift,0.0522221885621547,0.53876
segformer3d,shift,0.0522511024028062,0.53876
segformer3d,shift,0.052703870460391,0.53876
segformer3d,shift,0.0522452723234891,0.53876
segformer3d,original,0.0140683967620134,0.56112
segformer3d,original,0.0140489600598812,0.56112
segformer3d,original,0.0137011557817459,0.56112
segformer3d,original,0.0107895769178867,0.56112
segformer3d,original,0.0087733007967472,0.56112
segformer3d,original,0.0084153991192579,0.56112
segformer3d,original,0.008406450971961,0.56112
segformer3d,original,0.0083756651729345,0.56112
segformer3d,original,0.0084796715527772,0.56112
segformer3d,original,0.008981479331851,0.56112
segformer3d,original,0.0083838626742362,0.56112
segformer3d,original,0.0116348806768655,0.56112
segformer3d,original,0.0143840797245502,0.56112
segformer3d,original,0.0145782511681318,0.56112
segformer3d,original,0.0145560782402753,0.56112
segformer3d,original,0.0144030842930078,0.56112
segformer3d,original,0.013971485197544,0.56112
segformer3d,original,0.0141375754028558,0.56112
segformer3d,original,0.0139811132103204,0.56112
segformer3d,original,0.0139858238399028,0.56112
segformer3d,original,0.0139908213168382,0.56112
segformer3d,original,0.0158354435116052,0.56112
segformer3d,original,0.0140099562704563,0.56112
segformer3d,original,0.0140860993415117,0.56112
segformer3d,original,0.0139783080667257,0.56112
segformer3d,original,0.0140064805746078,0.56112
segformer3d,original,0.0139730684459209,0.56112
segformer3d,original,0.0141761787235736,0.56112
segformer3d,original,0.0142379850149154,0.56112
segformer3d,original,0.0139629691839218,0.56112
segformer3d,original,0.0139565467834472,0.56112
segformer3d,original,0.0139865707606077,0.56112
segformer3d,original,0.0139717366546392,0.56112
segformer3d,original,0.0140178836882114,0.56112
segformer3d,original,0.0157788004726171,0.56112
segformer3d,original,0.0141142532229423,0.56112
segformer3d,original,0.0138667691498994,0.56112
segformer3d,original,0.0139961820095777,0.56112
segformer3d,original,0.0140622649341821,0.56112
segformer3d,original,0.0140368081629276,0.56112
segformer3d,original,0.0129525680094957,0.56112
segformer3d,original,0.0129439998418092,0.56112
segformer3d,original,0.0129829235374927,0.56112
segformer3d,original,0.0132740177214145,0.56112
segformer3d,original,0.0129199959337711,0.56112
segformer3d,original,0.0130572114139795,0.56112
segformer3d,original,0.0129233207553625,0.56112
segformer3d,original,0.0132283512502908,0.56112
segformer3d,original,0.0132357962429523,0.56112
segformer3d,original,0.0129446238279342,0.56112
segformer3d,original,0.0130235999822616,0.56112
segformer3d,original,0.0129128023982048,0.56112
segformer3d,original,0.0129105094820261,0.56112
segformer3d,original,0.0129644274711608,0.56112
segformer3d,original,0.0144504737108945,0.56112
